Key,en,es,ar
Enter City,Enter City,Entrar en la ciudad,أدخل المدينة
State,State,Estado,ولاية
Enter State,Enter State,Ingrese el estado,إدخال الدولة
Zip Code,Zip Code,Código postal,الرمز البريدي
Enter Zip,Enter Zip,Ingrese zip,أدخل الرمز البريدي
Update,Update,Actualizar,تحديث
Change Password,Change Password,Cambiar la contraseña,تغيير كلمة المرور
Current Password,Current Password,Contraseña actual,كلمة السر الحالية
New Password,New Password,Nueva contraseña,كلمة المرور الجديدة
Confirm Password,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
Change,Change,Cambiar,يتغير
Delete Account,Delete Account,Borrar cuenta,حذف الحساب
Are you sure to delete,Are you sure to delete,¿Estás seguro de eliminar?,هل انت متأكد من الحذف
your account,your account,su cuenta,الحساب الخاص بك
If you do not think you will use,If you do not think you will use,Si no crees que usarás,إذا كنت لا تعتقد أنك ستستخدم
"again and like your account deleted, we can take card of this for you. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted, we can take card of this for you. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","De nuevo y al igual que su cuenta eliminada, podemos tomar una tarjeta de esto para usted. Tenga en cuenta que no podrá reactivar su cuenta o recuperar ninguno de los contenidos o información que haya agregado. Si aún desea que su cuenta se elimine, haga clic en ""Eliminar cuenta"".","مرة أخرى ومثل حسابك المحذوفة ، يمكننا أخذ بطاقة من هذا لك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال تحب حذف حسابك ، فانقر فوق ""حذف الحساب"".؟"
Enter Number,Enter Number,Ingresar número,أدخل رقم
Profile successfully updated!,Profile successfully updated!,Perfil actualizado con éxito!,تم تحديث الملف الشخصي بنجاح!
Password successfully updated,Password successfully updated,Contraseña actualizada correctamente,تم تحديث كلمة المرور بنجاح
The password must be at least 6 characters.,The password must be at least 6 characters.,La contraseña debe tener al menos 6 caracteres.,يجب أن تكون كلمة المرور 6 أحرف على الأقل.
Current password didn\'t match,Current password didn\'t match,La contraseña actual no coincidía,كلمة المرور الحالية لم تتطابق
Something went wrong! Please try again,Something went wrong! Please try again,¡Algo salió mal! Inténtalo de nuevo,هناك خطأ ما! حاول مرة اخرى
The firstname field is required.,The firstname field is required.,Se requiere el campo Nombre FirstName.,حقل الاسم الأول مطلوب.
The lastname field is required.,The lastname field is required.,Se requiere el campo LastName.,حقل اسم LastName مطلوب.
The current password field is required.,The current password field is required.,Se requiere el campo de contraseña actual.,حقل كلمة المرور الحالي مطلوب.
The password field is required.,The password field is required.,Se requiere el campo de contraseña.,حقل كلمة المرور مطلوب.
The name field is required.,The name field is required.,Se requiere el campo de nombre.,حقل الاسم مطلوب.
The email field is required.,The email field is required.,Se requiere el campo de correo electrónico.,حقل البريد الإلكتروني مطلوب.
The message field is required.,The message field is required.,Se requiere el campo de mensaje.,حقل الرسالة مطلوب.
Buy Crypto,Buy Crypto,Comprar cripto,شراء التشفير
Sell Crypto,Sell Crypto,Vender cripto,بيع التشفير
Withdraw Crypto,Withdraw Crypto,Retirar cripto,سحب التشفير
Exchange Crypto,Exchange Crypto,Intercambiar cripto,تبادل التشفير
Transactions,Transactions,Actas,المعاملات
Sell Log,Sell Log,Vender registro,بيع سجل
Withdraw Log,Withdraw Log,Retirar el registro,سحب السجل
Exchange Log,Exchange Log,Registro de intercambio,سجل التبادل
2FA Security,2FA Security,2FA SEGURIDAD,2FA الأمن
Logout,Logout,Cerrar sesión,تسجيل خروج
Help Center,Help Center,Centro de ayuda,مركز المساعدة
How can we help you?,How can we help you?,como podemos ayudarte?,كيف يمكننا مساعدتك؟
Get Support,Get Support,Obtener apoyo,احصل على الدعم
Are you sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك
Inside Wallet,Inside Wallet,Billetera interior,داخل المحفظة
Outside Wallet,Outside Wallet,Billetera exterior,محفظة خارجية
Select Coin,Select Coin,Seleccionar moneda,حدد عملة
Search Here,Search Here,Busca aquí,ابحث هنا
Select Network,Select Network,Seleccione la red,اختر شبكة
Crypto Address,Crypto Address,Dirección criptográfica,عنوان التشفير
Enter or Paste Address,Enter or Paste Address,Ingrese o pegue la dirección,أدخل أو لصق العنوان
Amount,Amount,Cantidad,كمية
Enter Amount,Enter Amount,Ingresar la cantidad,أدخل المبلغ
Payment Method,Payment Method,Método de pago,طريقة الدفع او السداد
Continue,Continue,Continuar,يكمل
The amount field is required.,The amount field is required.,Se requiere el campo de la cantidad.,حقل المبلغ مطلوب.
Wallet not found!,Wallet not found!,¡Billetera no encontrada!,لم يتم العثور على محفظة!
Payment Method not found!,Payment Method not found!,¡Método de pago no encontrado!,طريقة الدفع لم يتم العثور عليها!
Please follow the transaction limit.,Please follow the transaction limit.,Siga el límite de transacción.,يرجى اتباع حد المعاملة.
Buy Crypto Preview,Buy Crypto Preview,Comprar una vista previa de cripto,شراء معاينة التشفير
Summary,Summary,Resumen,ملخص
Wallet Type,Wallet Type,Tipo de billetera,نوع المحفظة
Coin,Coin,Moneda,عملة
Network,Network,Red,شبكة
Wallet Address,Wallet Address,Dirección de billetera,عنوان محفظة
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف
Network Fees,Network Fees,Tarifas de red,رسوم الشبكة
Total Payable Amount,Total Payable Amount,Monto total por pagar,إجمالي المبلغ المستحق
Confirm,Confirm,Confirmar,يتأكد
Buy Crypto Successful.,Buy Crypto Successful.,Compre crypto exitoso.,شراء Crypto ناجحة.
Transaction failed. Record didn\'t saved properly. Please try again.,Transaction failed. Record didn\'t saved properly. Please try again.,Transacción fallida. El registro no se guardó correctamente. Inténtalo de nuevo.,فشل الاجراء. سجل لم يتم حفظه بشكل صحيح. حاول مرة اخرى.
Failed to save data. Please try again,Failed to save data. Please try again,No se pudo guardar datos. Inténtalo de nuevo,فشل في حفظ البيانات. حاول مرة اخرى
Invalid request,Invalid request,Solicitud no válida,طلب غير صالح
Selected gateway is invalid,Selected gateway is invalid,La puerta de enlace seleccionada no es válida,بوابة مختارة غير صالحة
This payment gateway is under constructions. Please try with another payment gateway,This payment gateway is under constructions. Please try with another payment gateway,Esta pasarela de pago está en construcciones. Intente con otra pasarela de pago,بوابة الدفع هذه قيد الإنشاء. يرجى المحاولة مع بوابة دفع أخرى
Buy Crypto Manual,Buy Crypto Manual,Comprar manual de cripto,شراء دليل التشفير
Proceed_WEB,Proceed_WEB,Proceder_WEB,stop_web
Pay With This Address,Pay With This Address,Pagar con esta dirección,ادفع مع هذا العنوان
Qr Code,Qr Code,Código QR,رمز الاستجابة السريعة
Payment Received Successfully!,Payment Received Successfully!,¡Pago recibido con éxito!,تم استلام الدفع بنجاح!
Txn Hash,Txn Hash,TXN hash,تجزئة TXN
Preview_WEB,Preview_WEB,View_web,معاينة
Exchange Rate_WEB,Exchange Rate_WEB,Tipo de cambio_web,سعر الصرف
Fees_WEB,Fees_WEB,Tarifas_web,الرسوم
Total Payable_WEB,Total Payable_WEB,Total PAGABLE_WEB,إجمالي payable_web
You Will Get_WEB,You Will Get_WEB,Gette_web,سوف get_web
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere hash de transacción para verificar,تجزئة المعاملة مطلوبة للتحقق
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡La transacción hash no es válida! Ingrese un hash válido,تجزئة المعاملة غير صالحة! الرجاء إدخال تجزئة صالحة
Insufficient amount added. Please contact with system administrator,Insufficient amount added. Please contact with system administrator,Cantidad insuficiente agregada. Póngase en contacto con el administrador del sistema,المبلغ غير الكافي المضافة. يرجى الاتصال بمسؤول النظام
Payment Confirmation Success.,Payment Confirmation Success.,Éxito de confirmación de pagos.,نجاح تأكيد الدفع.
Sorry! Insufficient Balance.,Sorry! Insufficient Balance.,¡Lo siento! Saldo insuficiente.,آسف! توازن غير كاف.
Outside Wallet is not available for this coin and network.,Outside Wallet is not available for this coin and network.,La billetera exterior no está disponible para esta moneda y red.,المحفظة الخارجية غير متوفرة لهذه العملة والشبكة.
Data not found!,Data not found!,¡Datos no encontrados!,لم يتم العثور على بيانات!
Sell Crypto Payment,Sell Crypto Payment,Vender pago criptográfico,بيع الدفع التشفير
Transactions Summary,Transactions Summary,Resumen de transacciones,ملخص المعاملات
Will Get Amount,Will Get Amount,Obtendrá la cantidad,سوف تحصل على المبلغ
Sell Crypto Payment Info,Sell Crypto Payment Info,Vender información de pago criptográfico,بيع معلومات دفع التشفير
Receiving Method Information,Receiving Method Information,Recibir información sobre el método,استلام معلومات طريقة
Payment Proof,Payment Proof,Prueba de pago,دليل الدفع
Branch,Branch,Rama,فرع
Bank Name,Bank Name,Nombre del banco,اسم البنك
Bank Number,Bank Number,Número de banco,عدد البنوك
Transaction ID,Transaction ID,ID de transacción,رقم المعاملة
trx_id,trx_id,trx_id,TRX_ID
Screenshot,Screenshot,Captura de pantalla,لقطة شاشة
Selected Outside Address is invalid,Selected Outside Address is invalid,La dirección exterior seleccionada no es válida,العنوان الخارجي المحدد غير صالح
Transaction Failed. Failed to save information. Please try again,Transaction Failed. Failed to save information. Please try again,Transacción fallida. No se pudo guardar información. Inténtalo de nuevo,فشل الاجراء. فشل في حفظ المعلومات. حاول مرة اخرى
Payment Gateway Currency not found right now. Please try with another payment gateway,Payment Gateway Currency not found right now. Please try with another payment gateway,Moneda de la pasarela de pago no encontrada en este momento. Intente con otra pasarela de pago,عملة بوابة الدفع لم يتم العثور عليها الآن. يرجى المحاولة مع بوابة دفع أخرى
Sell Crypto Preview,Sell Crypto Preview,Vender vista previa de cripto,بيع معاينة التشفير
Payment Proof Summary,Payment Proof Summary,Resumen de la prueba de pago,ملخص دليل الدفع
Receiving Method Summary,Receiving Method Summary,Resumen del método de recepción,استلام ملخص طريقة
Sell Crypto Successful.,Sell Crypto Successful.,Vender criptoe exitoso.,بيع التشفير الناجح.
Type Here,Type Here,Escriba aquí,أكتب هنا
Max,Max,Máximo,الأعلى
Can\'t withdraw/request to your own,Can\'t withdraw/request to your own,¿No puede retirar/solicitar su propio,لا تستطيع الانسحاب/الطلب إلى بنفسك
The wallet address field is required.,The wallet address field is required.,Se requiere el campo de dirección de la billetera.,حقل عنوان المحفظة مطلوب.
Withdraw Crypto Preview,Withdraw Crypto Preview,Retirar la vista previa de Crypto,سحب معاينة التشفير
Withdraw Crypto Successful!,Withdraw Crypto Successful!,¡Retire la criptografía exitosa!,سحب التشفير ناجحة!
Exchange From,Exchange From,Intercambiar desde,تبادل من
Exchange To,Exchange To,Intercambiar,تبادل ل
The send amount field is required.,The send amount field is required.,Se requiere el campo de monto de envío.,حقل الإرسال مطلوب.
The receive money field is required.,The receive money field is required.,Se requiere el campo de recepción de dinero.,مطلوب حقل استلام الأموال.
Sender Wallet not found!,Sender Wallet not found!,¡Billetera de remitente no encontrada!,محفظة المرسل لم يتم العثور عليها!
Receiver Wallet not found!,Receiver Wallet not found!,¡No se encuentra la billetera del receptor!,محفظة المتلقي لم يتم العثور عليها!
Exchange Crypto Preview,Exchange Crypto Preview,Vista previa de intercambio de cripto,تبادل معاينة التشفير
From Wallet,From Wallet,De la billetera,من محفظة
To Wallet,To Wallet,A la billetera,إلى محفظة
Exchange Crypto Successful.,Exchange Crypto Successful.,Intercambiar cripto exitoso.,تبادل التشفير ناجحة.
Sell,Sell,Vender,يبيع
Download,Download,Descargar,تحميل
Reject Reason,Reject Reason,Rechazar la razón,رفض السبب
Buy,Buy,Comprar,يشتري
Process,Process,Proceso,عملية
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,اثنان عامل المصادقة
Disable,Disable,Desactivar,إبطال
Don't forget to add this application in your google authentication app. Otherwise you can't login in your account.,Don't forget to add this application in your google authentication app. Otherwise you can't login in your account.,"No olvide agregar esta aplicación en su aplicación de autenticación de Google. De lo contrario, no puede iniciar sesión en su cuenta.",لا تنس إضافة هذا التطبيق في تطبيق مصادقة Google الخاص بك. وإلا لا يمكنك تسجيل الدخول في حسابك.
Enable,Enable,Permitir,يُمكَِن
Google Authenticator,Google Authenticator,Autenticador de Google,مصادقة Google
Download Google Authenticator App,Download Google Authenticator App,Descargar la aplicación Google Authenticator,تنزيل تطبيق Google Authenticator
"Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator adds an extra layer of security to your online accounts by adding a second step of verification when you sign in. This means that in addition to your password, you'll also need to enter a code that is generated by the Google Authenticator app on your phone.","Google Authenticator agrega una capa adicional de seguridad a sus cuentas en línea al agregar un segundo paso de verificación cuando inicia sesión. Esto significa que, además de su contraseña, también necesitará ingresar un código generado por la aplicación Google Authenticator en tu teléfono.",يضيف Google Authenticator طبقة إضافية من الأمان إلى حساباتك عبر الإنترنت عن طريق إضافة خطوة ثانية من التحقق عند تسجيل الدخول. وهذا يعني أنه بالإضافة إلى كلمة المرور الخاصة بك ، ستحتاج أيضًا إلى إدخال رمز تم إنشاؤه بواسطة تطبيق Google Authenticator على هاتفك.
How to Setup?,How to Setup?,¿Como instalar?,كيفيه التنصيب؟
Download App,Download App,Descargar aplicación,تحميل التطبيق
2 factor authentication (Powered by google)?,2 factor authentication (Powered by google)?,¿Autenticación de 2 factores (alimentado por Google)?,2 مصادقة عامل (مدعوم من Google)؟
Support Tickets,Support Tickets,Boletos de apoyo,تذاكر الدعم الفني
Add New,Add New,Agregar nuevo,اضف جديد
Ticket ID,Ticket ID,Identificación de entradas,معرف التذاكر
User,User,Usuario,مستخدم
username,username,nombre de usuario,اسم المستخدم
Subject,Subject,Sujeto,موضوع
Status,Status,Estado,حالة
Last Reply,Last Reply,Última respuesta,الرد الأخير
No data found!,No data found!,¡Datos no encontrados!,لاتوجد بيانات!
Add New Ticket,Add New Ticket,Agregar nuevo boleto,أضف تذكرة جديدة
Optional,Optional,Opcional,خياري
Attachments,Attachments,Archivos adjuntos,المرفقات
The subject field is required.,The subject field is required.,Se requiere el campo de sujeto.,حقل الموضوع مطلوب.
The attachment field is required.,The attachment field is required.,Se requiere el campo de fijación.,حقل المرفق مطلوب.
Oops!! Failed to upload attachment. Please try again.,Oops!! Failed to upload attachment. Please try again.,¡¡Ups!! No se pudo cargar el archivo adjunto. Inténtalo de nuevo.,أُووبس!! فشل في تحميل المرفق. حاول مرة اخرى.
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de apoyo creado con éxito!,تذكرة دعم تم إنشاؤها بنجاح!
Conversation,Conversation,Conversación,محادثة
Support Details,Support Details,Detalles de apoyo,تفاصيل الدعم
Description,Description,Descripción,وصف
"This ticket is solved, you can't send message right now.","This ticket is solved, you can't send message right now.","Este boleto está resuelto, no puede enviar un mensaje en este momento.",تم حل هذه التذكرة ، لا يمكنك إرسال رسالة الآن.
Support Ticket,Support Ticket,Boleto de apoyo,بطاقة الدعم
Enter Subject,Enter Subject,Entrar en el sujeto,أدخل الموضوع
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين
Active,Active,Activo,نشيط
Unverified ,Unverified ,Inconfirmado,لم يتم التحقق منه
Total Blog Category,Total Blog Category,Categoría de blog total,إجمالي فئة المدونة
Inactive,Inactive,Inactivo,غير نشط
Total Blogs,Total Blogs,Total de blogs,إجمالي المدونات
Total Support Ticket,Total Support Ticket,Boleto de soporte total,إجمالي تذكرة الدعم
Pending,Pending,Pendiente,قيد الانتظار
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والرسوم
This Month,This Month,Este mes,هذا الشهر
Last Month,Last Month,El mes pasado,الشهر الماضي
Transaction Analytics,Transaction Analytics,Análisis de transacciones,تحليلات المعاملات
User Analytics,User Analytics,Análisis de usuarios,تحليلات المستخدم
View User,View User,Ver usuario,عرض المستخدم
Latest Buy Crypto Transactions,Latest Buy Crypto Transactions,Las últimas transacciones de compra de cripto,أحدث معاملات شراء التشفير
S. Wallet,S. Wallet,S. billetera,S. محفظة
P. Method,P. Method,P. método,طريقة P.
Developed by,Developed by,Desarrollado por,طورت بواسطة
Appdevs.,Appdevs.,Appdevs.,appdevs.
Welcome To,Welcome To,Bienvenido a,مرحبا بك في
Admin Panel,Admin Panel,Panel de administrador,لوحة الادارة
Default,Default,Por defecto,تقصير
Setup Coin,Setup Coin,Moneda de configuración,عملة الإعداد
Setup Network,Setup Network,Red de configuración,شبكة الإعداد
Setup Currency,Setup Currency,Moneda de configuración,الإعداد العملة
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والرسوم
Outside Address,Outside Address,Dirección exterior,عنوان خارج
Transactions & Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات
Buy Crypto Logs,Buy Crypto Logs,Comprar registros de cifrado,شراء سجلات التشفير
Pending Logs,Pending Logs,Registros pendientes,سجلات معلقة
Confirm Logs,Confirm Logs,Confirmar registros,تأكيد سجلات
Rejected Logs,Rejected Logs,Registros rechazados,سجلات مرفوضة
All Logs,All Logs,Todos los registros,جميع السجلات
Interface Panel,Interface Panel,Panel de interfaz,لوحة واجهة
User Care,User Care,Cuidado de los usuarios,رعاية المستخدم
Active Users,Active Users,Usuarios activos,المستخدمين النشطين
Email Unverified,Email Unverified,Correo electrónico no verificado,البريد الإلكتروني غير التحقق
All Users,All Users,Todos los usuarios,جميع المستخدمين
Email To Users,Email To Users,Correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
Banned Users,Banned Users,Usuarios prohibidos,المستخدمين المحظورون
Admin Care,Admin Care,Atención administrativa,رعاية المسؤول
All Admin,All Admin,Todos los administradores,كل المشرف
Admin Role,Admin Role,Rol de administrador,دور المسؤول
Role Permission,Role Permission,Permiso de rol,إذن الدور
Email To Admin,Email To Admin,Correo electrónico al administrador,البريد الإلكتروني إلى المسؤول
Settings,Settings,Ajustes,إعدادات
Web Settings,Web Settings,Configuración web,إعدادات الويب
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات
Image Assets,Image Assets,Activos de imagen,أصول الصورة
Setup SEO,Setup SEO,Configuración de SEO,إعداد SEO
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية
Onboard Screen,Onboard Screen,Pantalla a bordo,على متن الشاشة
App URLs,App URLs,URL de aplicaciones,APP urls
Languages,Languages,Lenguas,اللغات
Verification Center,Verification Center,Centro de verificación,مركز التحقق
Setup Email,Setup Email,Correo electrónico de configuración,إعداد البريد الإلكتروني
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب
Setup Section,Setup Section,Sección de configuración,قسم الإعداد
Banner Section,Banner Section,Banner,قسم لافتة
Security Section,Security Section,Sección de seguridad,قسم الأمن
How Its Work Section,How Its Work Section,Cómo su sección de trabajo,كيف قسم عملها
Download App Section,Download App Section,Descargar la sección de aplicaciones,تنزيل قسم التطبيق
Statistic Section,Statistic Section,Sección estadística,قسم الإحصاء
Call To Action Section,Call To Action Section,Sección de llamada a la acción,قسم الاتصال إلى الإجراءات
Footer Section,Footer Section,Sección de pies,قسم تذييل
News Letter Section,News Letter Section,Sección de la carta de noticias,قسم الرسائل الإخبارية
About Section,About Section,Acerca de la sección,حول القسم
Faq Section,Faq Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة
Service Section,Service Section,Sección de servicio,قسم الخدمة
Blog Section,Blog Section,Sección de blogs,قسم المدونة
Contact Section,Contact Section,Sección de contacto,قسم الاتصال
Login Section,Login Section,Sección de inicio de sesión,قسم تسجيل الدخول
Register Section,Register Section,Sección de registro,قسم التسجيل
Setup Pages,Setup Pages,Configuración de páginas,صفحات الإعداد
Extensions,Extensions,Extensiones,الامتدادات
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة
Subscribers,Subscribers,Suscriptores,مشتركين
Contact Messages,Contact Messages,Mensajes de contacto,اتصل بالرسائل
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع
Automatic,Automatic,Automático,تلقائي
Manual,Manual,Manual,يدوي
Money Out,Money Out,Apagarse,لم يبقى اي من المال
Push Notification,Push Notification,Notificación de inserción,إشعار دفع
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد
Send Notification,Send Notification,Enviar notificación,إرسال إشعار
Bonus,Bonus,Prima,علاوة
GDPR Cookie,GDPR Cookie,Galleta GDPR,ملف تعريف الارتباط الناتج المحلي الإجمالي
Server Info,Server Info,Información del servidor,معلومات الخادم
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت
Sell Crypto Logs,Sell Crypto Logs,Vender registros de cifrado,بيع سجلات التشفير
Withdraw Crypto Logs,Withdraw Crypto Logs,Retirar registros de cifrado,سحب سجلات التشفير
Exchange Crypto Logs,Exchange Crypto Logs,Intercambiar registros criptográficos,تبادل سجلات التشفير
Admin Profile,Admin Profile,Perfil de administración,ملف تعريف المسؤول
Profile Image,Profile Image,Imagen de perfil,صورة الملف الشخصي
Select State,Select State,Seleccione estado,اختر ولايه
Select City,Select City,Ciudad selecta,اختر مدينة
Save & Change,Save & Change,Guardar cambios,حفظ وتغيير
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,معلومات الملف الشخصي تحديث بنجاح!
